통계분야,통계유형,통계명,통계표명,통계리스트 주소
국토/도시,승인통계,건축물통계,면적별 건축물 현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=19&hFormId=540
국토/도시,승인통계,건축물통계,면적별 건축물 현황(50만_이상_도시),https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=19&hFormId=5391
국토/도시,승인통계,건축물통계,소유구분별 건축물 현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=19&hFormId=560
국토/도시,승인통계,건축물통계,소유구분별 건축물 현황(50만_이상_도시),https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=19&hFormId=5392
국토/도시,승인통계,건축물통계,용도별 건축물 현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=19&hFormId=522
국토/도시,승인통계,건축물통계,용도별 건축물 현황(50만_이상_도시),https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=19&hFormId=5389
국토/도시,승인통계,건축물통계,층수별 건축물 현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=19&hFormId=524
국토/도시,승인통계,건축물통계,층수별 건축물 현황(50만_이상_도시),https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=19&hFormId=5390
국토/도시,승인통계,건축허가·착공·준공통계,동수별 연면적별 건축준공현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=466&hFormId=7060
국토/도시,승인통계,건축허가·착공·준공통계,동수별 연면적별 건축착공현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=466&hFormId=6905
국토/도시,승인통계,건축허가·착공·준공통계,동수별 연면적별 건축착공현황(종료),https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=466&hFormId=562
국토/도시,승인통계,건축허가·착공·준공통계,동수별 연면적별 건축허가현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=466&hFormId=6906
국토/도시,승인통계,건축허가·착공·준공통계,동수별 연면적별 건축허가현황(종료),https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=466&hFormId=564
국토/도시,승인통계,건축허가·착공·준공통계,시도별 건축준공현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=466&hFormId=7061
국토/도시,승인통계,건축허가·착공·준공통계,시도별 건축착공현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=466&hFormId=2202
국토/도시,승인통계,건축허가·착공·준공통계,시도별 건축허가현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=466&hFormId=2200
국토/도시,승인통계,건축허가·착공·준공통계,연도별 건축물착공현황(종료),https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=466&hFormId=2264
국토/도시,승인통계,건축허가·착공·준공통계,연도별 건축준공현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=466&hFormId=7164
국토/도시,승인통계,건축허가·착공·준공통계,연도별 건축착공현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=466&hFormId=6919
국토/도시,승인통계,건축허가·착공·준공통계,연도별 건축허가현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=466&hFormId=6920
국토/도시,승인통계,건축허가·착공·준공통계,연도별 건축허가현황(종료),https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=466&hFormId=2260
국토/도시,승인통계,국토지리정보현황,공공측량현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=13&hFormId=6717
국토/도시,승인통계,국토지리정보현황,공공측량현황(종료),https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=13&hFormId=448
국토/도시,승인통계,국토지리정보현황,국가 측량 기준점 설치현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=13&hFormId=6793
국토/도시,승인통계,국토지리정보현황,국가 측량 기준점 설치현황(종료),https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=13&hFormId=446
국토/도시,승인통계,국토지리정보현황,수치지도 제작 및 수정현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=13&hFormId=450
국토/도시,승인통계,국토지리정보현황,자연지명현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=13&hFormId=6794
국토/도시,승인통계,국토지리정보현황,자연지명현황(종료),https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=13&hFormId=454
국토/도시,승인통계,국토지리정보현황,종이지도 제작 및 수정현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=13&hFormId=6795
국토/도시,승인통계,국토지리정보현황,종이지도 제작 및 수정현황(종료),https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=13&hFormId=452
국토/도시,승인통계,국토지리정보현황,측량업 등록업체현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=13&hFormId=6796
국토/도시,승인통계,국토지리정보현황,측량업 등록업체현황(종료),https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=13&hFormId=456
국토/도시,승인통계,도시정비사업현황,1-1. 연도별 주거환경개선사업 현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=17&hFormId=6187
국토/도시,승인통계,도시정비사업현황,1-2. 시도별 주거환경개선사업 현황 누계,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=17&hFormId=6188
국토/도시,승인통계,도시정비사업현황,2-1. 연도별 재개발사업 현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=17&hFormId=6189
국토/도시,승인통계,도시정비사업현황,2-2. 시도별 재개발사업 현황 누계,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=17&hFormId=6190
국토/도시,승인통계,도시정비사업현황,3-1. 연도별 재건축사업 현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=17&hFormId=6191
국토/도시,승인통계,도시정비사업현황,3-2. 시도별 재건축사업 현황 누계,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=17&hFormId=6192
국토/도시,승인통계,도시정비사업현황,3-3. 연도별 서울시 재건축사업 현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=17&hFormId=6193
국토/도시,승인통계,도시정비사업현황,4-1. 연도별 가로주택정비사업 현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=17&hFormId=6194
국토/도시,승인통계,도시정비사업현황,4-2. 시도별 가로주택정비사업 현황 누계,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=17&hFormId=6195
주택,승인통계,미분양주택현황보고,공사완료후 미분양현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=32&hFormId=5328
주택,승인통계,미분양주택현황보고,규모별 미분양현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=32&hFormId=2080
주택,승인통계,미분양주택현황보고,미분양현황_종합,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=32&hFormId=2086
주택,승인통계,미분양주택현황보고,시·군·구별 미분양현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=32&hFormId=2082
주택,승인통계,아파트주거환경통계,사업주체별 규모 현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=33&hFormId=748
주택,승인통계,아파트주거환경통계,사업주체별 부대복리시설 현황(종료),https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=33&hFormId=798
주택,승인통계,아파트주거환경통계,사업주체별 부대복리시설현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=33&hFormId=6042
주택,승인통계,아파트주거환경통계,사업주체별 지역별 규모 현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=33&hFormId=802
주택,승인통계,아파트주거환경통계,사업주체별 지역별 층수 현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=33&hFormId=800
주택,승인통계,아파트주거환경통계,사업주체별 층수 현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=33&hFormId=730
주택,승인통계,아파트주거환경통계,연도별 사업주체별 건설현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=33&hFormId=692
주택,승인통계,아파트주거환경통계,준공연도별 규모현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=33&hFormId=690
주택,승인통계,아파트주거환경통계,준공연도별 지역별 규모 현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=33&hFormId=804
주택,승인통계,아파트주거환경통계,지역별 규모현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=33&hFormId=682
주택,승인통계,아파트주거환경통계,지역별 난방방식 현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=33&hFormId=756
주택,승인통계,아파트주거환경통계,지역별 단지면적 현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=33&hFormId=752
주택,승인통계,아파트주거환경통계,지역별 대중교통 및 교육시설 인접현황(종료),https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=33&hFormId=5419
주택,승인통계,아파트주거환경통계,지역별 동수 현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=33&hFormId=760
주택,승인통계,아파트주거환경통계,지역별 방범시설 및 조경면적 현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=33&hFormId=6038
주택,승인통계,아파트주거환경통계,지역별 방범시설 및 주택품질 현황(종료),https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=33&hFormId=5420
주택,승인통계,아파트주거환경통계,지역별 부대 복리 시설현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=33&hFormId=6041
주택,승인통계,아파트주거환경통계,지역별 부대 복리 시설현황(종료),https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=33&hFormId=694
주택,승인통계,아파트주거환경통계,지역별 용도지역 현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=33&hFormId=754
주택,승인통계,아파트주거환경통계,지역별 일반 면적현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=33&hFormId=6039
주택,승인통계,아파트주거환경통계,지역별 주차장 시설 현황(종료),https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=33&hFormId=696
주택,승인통계,아파트주거환경통계,지역별 주차장 시설현황,https://stat.molit.go.kr/portal/cate/viewChk.do?hRsId=33&hFormId=6040
